72 Trần Phú, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai
17 - 19 Hàm Nghi , Phường Cheo Reo, Thị xã Ayun Pa, Tỉnh Gia Lai
281 Tôn Đức Thắng, Xã Biển Hồ, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 2, Xã Pờ Tó, Huyện Ia Pa, Tỉnh Gia Lai
Thôn 2, Xã Pờ Tó, Huyện Ia Pa, Tỉnh Gia Lai
Lô 7, Đường Nguyễn Bá Lân, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
02/23 Cô Bắc, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
17 Nguyễn Văn Cừ, Thôn Mỹ Thạch 2, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai
10/3 Yết Kiêu , Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
05/125 Lê Văn Hưu, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
48/5 Tôn Thất Thuyết, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
1105 Trường Chinh, Phường Chi Lăng, Thành phố  Pleiku, Tỉnh Gia Lai
427A Lê Đại Hành, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Hòa Bình, Xã Bàu Cạn, Huyện Chư Prông, Tỉnh Gia Lai
105 Cù Chính Lan , Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
Đường Âu Cơ, Tổ 5, Phường Thắng Lợi, Thành phố  Pleiku, Tỉnh Gia Lai
42 Lý Thái Tổ, Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 1, Xã Đak Krong, Huyện Đak Đoa, Tỉnh Gia Lai
1458 Quang Trung , Phường An Bình, Thị xã An Khê, Tỉnh Gia Lai
687 Trường Chinh, Phường Chi Lăng, Thành phố  Pleiku, Tỉnh Gia Lai
94/62 Phan Đình Phùng, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
Đường Liên Xã, thôn Đoàn Kết, Xã Chư Pơng, Huyện Chư Sê, Tỉnh Gia Lai
Thôn Mơ Nang 2, Xã Kim Tân, Huyện Ia Pa, Tỉnh Gia Lai
583 Võ Văn Kiệt, Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
301 Lê Đại Hành, Phường Đống Đa, Thành phố  Pleiku, Tỉnh Gia Lai
đường Lê Thánh Tôn, Tổ 4, Phường Chi Lăng, Thành phố  Pleiku, Tỉnh Gia Lai
162/84/5 Trường Chinh, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Hẻm Tô Vĩnh Diện , Thị Trấn Phú Túc, Huyện Krông Pa, Tỉnh Gia Lai
Thôn Pleidư, Xã Ia Hrú, Huyện Chư Pưh, Tỉnh Gia Lai
225 Lý Thái Tổ, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
51 Lê Thánh Tôn, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
81 Đường 17/3, Phường Phù Đổng, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Hưng Phú, Xã Ia Rsươm, Huyện Krông Pa, Tỉnh Gia Lai
10 Phan Bội Châu, Phường Hội Thương, Thành phố  Pleiku, Tỉnh Gia Lai
99B Đồng Tiến, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
142 Trần Văn Bình , Xã Trà Đa, Thành phố  Pleiku, Tỉnh Gia Lai
123/13 Tôn Thất Thuyết , Phường Thống Nhất, Thành phố  Pleiku, Tỉnh Gia Lai
59 Lê Thị Hồng Gấm, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Cửu Đạo, Xã Tú An, Thị xã An Khê, Tỉnh Gia Lai
112 Lê Thánh Tôn, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
Tổ 4, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai
19 Siu Bleh, Tổ 1, Phường Đống Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn 6, Xã An Trung, Huyện Kông Chro, Tỉnh Gia Lai
212 Trần Hưng Đạo, Thị Trấn Kon Dơng, Huyện Mang Yang, Tỉnh Gia Lai
Số 12/2 Thôn Phú An, Xã Ia Le, Huyện Chư Pưh, Tỉnh Gia Lai
Thôn Ia Sa, Xã H Bông, Huyện Chư Sê, Tỉnh Gia Lai
Thôn Ia Sa, Xã H Bông, Huyện Chư Sê, Tỉnh Gia Lai
20 Phạm Văn Đồng, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
19 Nguyễn Thiếp , Phường Diên Hồng, Thành phố  Pleiku, Tỉnh Gia Lai
334 Trường Chinh, Phường Trà Bá, Thành phố  Pleiku, Tỉnh Gia Lai
05 Bùi Thị Xuân, Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
42 Thống Nhất , Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
31 Nguyễn Lương Bằng , Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
540 Trần Hưng Đạo , Thị Trấn Kon Dơng, Huyện Mang Yang, Tỉnh Gia Lai
15 Nguyễn Bỉnh Khiêm , Phường Yên Thế, Thành phố  Pleiku, Tỉnh Gia Lai
93 Phan Đình Phùng , Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
80A Nguyễn Trãi , Phường Yên Đỗ, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Nhơn Tân, Xã Đăktaley, Huyện Mang Yang, Tỉnh Gia Lai
15 Hồ Tùng Mậu , Phường Đống Đa, Thành phố  Pleiku, Tỉnh Gia Lai
Thôn Plơi Rơngol, Xã Ia Trok, Huyện Ia Pa, Tỉnh Gia Lai
Đội 15, Làng Bíangó, Xã Ia Chia, Huyện Ia Grai, Tỉnh Gia Lai
16 Phan Đình Phùng , Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
83-85 Trường Sa, Xã Diên Phú, Thành phố  Pleiku, Tỉnh Gia Lai
Làng Kun , Xã Yang Nam, Huyện Kông Chro, Tỉnh Gia Lai
29 Nguyễn Văn Cừ, Phường Ia Kring, Thành phố  Pleiku, Tỉnh Gia Lai
260 Cách Mạng Tháng Tám, Phường Hoa Lư, Thành phố  Pleiku, Tỉnh Gia Lai
31/38 Phan Đình Phùng, Phường Tây Sơn, Thành phố  Pleiku, Tỉnh Gia Lai
